time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,4.85,66.4,0.0,-0.0,0.0,260.58,2.68,38.0,100990.0
20190101:0100,4.62,66.21,0.0,-0.0,0.0,262.86,2.95,36.0,100970.0
20190101:0200,4.39,66.02,0.0,-0.0,0.0,265.15,3.22,34.0,100980.0
20190101:0300,4.15,65.83,0.0,-0.0,0.0,267.43,3.48,30.0,100950.0
20190101:0400,3.92,65.64,0.0,-0.0,0.0,269.71,3.75,28.0,100950.0
20190101:0500,3.69,65.45,0.0,-0.0,0.0,272.0,4.01,28.0,101000.0
20190101:0600,3.46,65.26,12.0,0.0,12.0,274.28,4.28,28.0,101069.0
20190101:0700,3.23,65.07,105.0,91.11,87.0,276.56,4.54,34.0,101069.0
20190101:0800,5.47,59.0,208.0,169.96,154.0,276.0,3.93,34.0,101069.0
20190101:0900,6.25,52.35,334.0,411.34,170.0,270.6,4.41,34.0,101039.0
20190101:1000,6.96,49.65,421.0,666.67,131.0,263.8,4.48,33.0,101010.0
20190101:1100,7.47,47.4,427.0,768.61,101.0,255.0,4.41,31.0,100901.0
20190101:1200,7.81,45.75,341.0,616.01,115.0,248.6,4.07,32.0,100832.0
20190101:1300,7.76,44.95,215.0,415.57,104.0,245.4,3.66,36.0,100782.0
20190101:1400,7.37,45.75,87.0,288.72,49.0,246.8,3.17,43.0,100782.0
20190101:1500,6.57,47.65,0.0,-0.0,0.0,245.6,2.76,44.0,100782.0
20190101:1600,5.44,53.1,0.0,-0.0,0.0,245.2,2.48,43.0,100822.0
20190101:1700,4.03,60.55,0.0,-0.0,0.0,241.2,2.21,43.0,100812.0
20190101:1800,3.3,60.8,0.0,-0.0,0.0,236.8,2.14,40.0,100812.0
20190101:1900,3.23,58.9,0.0,-0.0,0.0,237.4,1.93,43.0,100782.0
20190101:2000,2.81,60.6,0.0,-0.0,0.0,233.6,1.86,39.0,100753.0
20190101:2100,2.15,63.3,0.0,-0.0,0.0,233.2,1.86,31.0,100693.0
20190101:2200,1.54,65.95,0.0,-0.0,0.0,229.0,1.86,23.0,100634.0
20190101:2300,1.55,66.35,0.0,-0.0,0.0,228.2,1.66,24.0,100575.0
20190102:0000,2.63,62.3,0.0,-0.0,0.0,225.8,1.31,35.0,100555.0
20190102:0100,2.55,62.4,0.0,-0.0,0.0,225.4,1.1,35.0,100486.0
20190102:0200,3.07,61.15,0.0,-0.0,0.0,224.8,0.83,29.0,100427.0
20190102:0300,3.01,62.0,0.0,-0.0,0.0,226.2,0.69,25.0,100338.0
20190102:0400,2.94,62.95,0.0,-0.0,0.0,228.8,0.62,18.0,100288.0
20190102:0500,2.88,63.6,0.0,-0.0,0.0,229.0,0.55,13.0,100269.0
20190102:0600,2.79,64.6,15.0,0.0,15.0,234.6,0.48,4.0,100249.0
20190102:0700,2.98,63.95,170.0,556.28,60.0,229.2,0.83,335.0,100249.0
20190102:0800,3.69,72.15,309.0,719.62,80.0,229.8,0.55,323.0,100259.0
20190102:0900,5.26,57.95,408.0,810.86,84.0,232.2,0.48,299.0,100160.0
20190102:1000,5.85,55.95,453.0,832.1,90.0,240.8,0.48,274.0,100071.0
20190102:1100,6.25,54.6,437.0,810.36,92.0,235.2,0.55,237.0,99943.0
20190102:1200,6.44,54.5,366.0,756.57,87.0,246.0,0.83,203.0,99903.0
20190102:1300,6.27,55.9,247.0,635.15,76.0,238.8,0.97,196.0,99864.0
20190102:1400,5.81,59.15,105.0,492.96,39.0,243.0,0.97,201.0,99844.0
20190102:1500,4.71,71.55,0.0,-0.0,0.0,243.4,0.9,217.0,99844.0
20190102:1600,4.96,61.45,0.0,-0.0,0.0,250.4,0.41,243.0,99883.0
20190102:1700,4.81,62.5,0.0,-0.0,0.0,261.6,0.14,0.0,99893.0
20190102:1800,4.64,63.85,0.0,-0.0,0.0,260.2,0.41,19.0,99893.0
20190102:1900,5.1,64.85,0.0,-0.0,0.0,266.0,0.76,55.0,99962.0
20190102:2000,5.14,65.45,0.0,-0.0,0.0,281.4,0.76,48.0,99982.0
20190102:2100,5.1,66.35,0.0,-0.0,0.0,289.4,0.76,43.0,99982.0
20190102:2200,4.98,68.2,0.0,-0.0,0.0,297.2,0.76,34.0,100012.0
20190102:2300,4.7,70.05,0.0,-0.0,0.0,298.6,0.62,30.0,100022.0
20190103:0000,4.38,72.75,0.0,-0.0,0.0,292.2,0.69,38.0,100022.0
20190103:0100,3.43,81.2,0.0,-0.0,0.0,299.4,1.03,47.0,100022.0
20190103:0200,2.83,85.15,0.0,-0.0,0.0,296.6,1.17,58.0,99992.0
20190103:0300,2.26,87.15,0.0,-0.0,0.0,297.2,1.66,62.0,99953.0
20190103:0400,2.15,86.75,0.0,-0.0,0.0,294.6,1.86,63.0,99972.0
20190103:0500,2.21,84.95,0.0,-0.0,0.0,294.4,2.07,65.0,99962.0
20190103:0600,2.38,83.0,7.0,0.0,7.0,298.6,2.28,62.0,99982.0
20190103:0700,2.98,80.25,48.0,0.0,48.0,274.0,2.41,55.0,100002.0
20190103:0800,4.68,74.35,55.0,0.0,55.0,276.0,2.41,61.0,100061.0
20190103:0900,5.54,65.7,110.0,0.0,110.0,280.6,3.1,63.0,99992.0
20190103:1000,5.95,58.8,79.0,0.0,79.0,284.8,3.72,57.0,99913.0
20190103:1100,6.19,54.7,85.0,0.0,85.0,287.0,3.59,54.0,99873.0
20190103:1200,6.39,51.75,152.0,13.49,147.0,293.4,3.66,57.0,99854.0
20190103:1300,6.15,51.95,71.0,0.0,71.0,288.4,4.0,48.0,99785.0
20190103:1400,5.8,52.9,54.0,29.36,50.0,293.4,4.07,34.0,99686.0
20190103:1500,5.43,52.75,0.0,-0.0,0.0,289.2,3.72,28.0,99626.0
20190103:1600,5.04,54.6,0.0,-0.0,0.0,293.0,3.38,24.0,99676.0
20190103:1700,4.71,56.7,0.0,-0.0,0.0,295.2,3.17,18.0,99745.0
20190103:1800,4.39,58.7,0.0,-0.0,0.0,296.0,2.9,8.0,99794.0
20190103:1900,3.72,65.05,0.0,-0.0,0.0,295.0,2.83,337.0,99844.0
20190103:2000,3.38,67.7,0.0,-0.0,0.0,293.2,2.62,324.0,99893.0
20190103:2100,3.08,69.55,0.0,-0.0,0.0,290.6,2.48,314.0,99933.0
20190103:2200,2.83,70.9,0.0,-0.0,0.0,289.6,2.34,309.0,100051.0
20190103:2300,2.6,72.6,0.0,-0.0,0.0,287.0,2.14,303.0,100130.0
20190104:0000,2.36,74.05,0.0,-0.0,0.0,285.6,2.0,302.0,100160.0
20190104:0100,2.09,75.85,0.0,-0.0,0.0,285.6,1.72,304.0,100229.0
20190104:0200,1.67,79.15,0.0,-0.0,0.0,286.2,1.52,304.0,100259.0
20190104:0300,1.17,82.4,0.0,-0.0,0.0,281.8,1.45,294.0,100269.0
20190104:0400,0.77,84.85,0.0,-0.0,0.0,279.6,1.31,294.0,100367.0
20190104:0500,0.72,84.35,0.0,-0.0,0.0,276.6,1.1,302.0,100446.0
20190104:0600,1.62,77.35,4.0,0.0,4.0,279.0,0.69,324.0,100575.0
20190104:0700,2.03,79.3,15.0,0.0,15.0,282.8,0.83,97.0,100723.0
20190104:0800,2.39,79.4,100.0,0.0,100.0,286.2,2.21,96.0,100832.0
20190104:0900,2.56,77.65,228.0,82.15,195.0,285.4,3.1,91.0,100881.0
20190104:1000,2.88,75.1,82.0,0.0,82.0,284.0,3.31,82.0,100921.0
20190104:1100,2.91,71.1,249.0,88.52,211.0,277.6,3.52,77.0,100931.0
20190104:1200,3.03,65.1,87.0,0.0,87.0,293.4,3.66,73.0,100871.0
20190104:1300,2.95,61.95,82.0,0.0,82.0,293.0,3.79,70.0,100852.0
20190104:1400,2.66,62.0,47.0,14.42,45.0,292.2,3.72,63.0,100842.0
20190104:1500,2.15,63.55,0.0,-0.0,0.0,282.6,3.52,57.0,100802.0
20190104:1600,1.81,64.65,0.0,-0.0,0.0,288.8,3.72,56.0,100832.0
20190104:1700,1.69,65.3,0.0,-0.0,0.0,293.2,3.79,56.0,100832.0
20190104:1800,1.39,67.15,0.0,-0.0,0.0,292.4,4.21,51.0,100842.0
20190104:1900,1.48,62.4,0.0,-0.0,0.0,285.6,5.03,56.0,100842.0
20190104:2000,1.42,61.15,0.0,-0.0,0.0,289.0,5.31,54.0,100782.0
20190104:2100,1.37,59.6,0.0,-0.0,0.0,289.0,5.38,51.0,100773.0
20190104:2200,1.22,59.2,0.0,-0.0,0.0,289.8,5.24,48.0,100792.0
20190104:2300,1.0,59.6,0.0,-0.0,0.0,281.8,5.1,44.0,100733.0
20190105:0000,0.84,60.2,0.0,-0.0,0.0,283.8,4.9,39.0,100693.0
20190105:0100,0.59,60.25,0.0,-0.0,0.0,287.6,4.83,33.0,100674.0
20190105:0200,0.53,60.35,0.0,-0.0,0.0,284.4,4.55,26.0,100595.0
20190105:0300,0.45,60.85,0.0,-0.0,0.0,281.8,4.0,21.0,100545.0
20190105:0400,0.43,60.65,0.0,-0.0,0.0,279.6,3.59,19.0,100526.0
20190105:0500,0.42,60.75,0.0,-0.0,0.0,281.0,3.24,18.0,100496.0
20190105:0600,0.38,61.4,3.0,0.0,3.0,278.6,3.1,15.0,100516.0
20190105:0700,0.11,67.5,22.0,0.0,22.0,289.6,2.97,355.0,100535.0
20190105:0800,-0.1,71.05,36.0,0.0,36.0,292.6,2.76,351.0,100585.0
20190105:0900,0.05,72.5,70.0,0.0,70.0,294.6,2.69,349.0,100565.0
20190105:1000,0.08,75.45,83.0,0.0,83.0,294.2,2.69,346.0,100526.0
20190105:1100,0.36,75.9,70.0,0.0,70.0,293.8,2.76,343.0,100446.0
20190105:1200,0.6,76.65,82.0,0.0,82.0,294.8,2.76,342.0,100387.0
20190105:1300,0.93,75.8,50.0,0.0,50.0,293.2,2.69,341.0,100328.0
20190105:1400,1.03,76.35,55.0,28.32,51.0,294.8,2.34,340.0,100308.0
20190105:1500,0.83,79.2,0.0,-0.0,0.0,288.8,2.0,340.0,100269.0
20190105:1600,0.53,82.15,0.0,-0.0,0.0,295.2,1.66,338.0,100298.0
20190105:1700,0.46,81.3,0.0,-0.0,0.0,291.0,1.24,333.0,100318.0
20190105:1800,0.61,77.95,0.0,-0.0,0.0,281.8,1.03,324.0,100328.0
20190105:1900,-0.51,83.4,0.0,-0.0,0.0,291.2,1.38,293.0,100328.0
20190105:2000,-0.7,82.85,0.0,-0.0,0.0,279.8,1.45,296.0,100298.0
20190105:2100,-1.42,82.15,0.0,-0.0,0.0,248.4,1.52,299.0,100229.0
20190105:2200,-1.73,79.9,0.0,-0.0,0.0,227.4,1.59,304.0,100190.0
20190105:2300,-1.11,76.95,0.0,-0.0,0.0,225.4,1.52,308.0,100150.0
20190106:0000,-0.4,74.35,0.0,-0.0,0.0,213.8,1.45,311.0,100120.0
20190106:0100,-0.32,73.75,0.0,-0.0,0.0,214.2,1.45,312.0,100091.0
20190106:0200,-0.74,73.7,0.0,-0.0,0.0,214.8,1.52,314.0,100051.0
20190106:0300,-0.77,72.6,0.0,-0.0,0.0,214.8,1.52,318.0,99982.0
20190106:0400,-0.66,71.0,0.0,-0.0,0.0,222.6,1.45,321.0,99972.0
20190106:0500,-0.8,69.9,0.0,-0.0,0.0,221.6,1.45,321.0,99933.0
20190106:0600,-0.91,68.55,15.0,0.0,15.0,223.8,1.52,323.0,99933.0
20190106:0700,-1.86,66.65,36.0,0.0,36.0,229.8,1.72,318.0,99943.0
20190106:0800,-0.84,61.5,122.0,9.33,119.0,241.6,1.59,314.0,99943.0
20190106:0900,-0.01,62.45,104.0,0.0,104.0,247.0,1.31,306.0,99923.0
20190106:1000,1.04,66.9,85.0,0.0,85.0,242.4,1.03,298.0,99844.0
20190106:1100,2.46,63.15,197.0,23.08,187.0,243.8,0.83,280.0,99794.0
20190106:1200,4.27,43.65,179.0,31.8,167.0,235.6,0.48,267.0,99794.0
20190106:1300,4.48,44.45,162.0,111.23,131.0,237.4,0.14,207.0,99814.0
20190106:1400,3.67,54.5,69.0,69.51,59.0,245.2,0.83,129.0,99873.0
20190106:1500,3.12,58.2,0.0,-0.0,0.0,239.2,1.17,116.0,99893.0
20190106:1600,2.66,60.0,0.0,-0.0,0.0,244.8,1.31,104.0,99972.0
20190106:1700,2.74,59.05,0.0,-0.0,0.0,237.2,1.1,93.0,100061.0
20190106:1800,2.39,62.15,0.0,-0.0,0.0,238.6,1.17,72.0,100130.0
20190106:1900,2.07,65.3,0.0,-0.0,0.0,236.0,0.69,10.0,100209.0
20190106:2000,1.24,67.9,0.0,-0.0,0.0,225.0,0.97,9.0,100239.0
20190106:2100,1.71,62.9,0.0,-0.0,0.0,221.4,0.69,20.0,100298.0
20190106:2200,1.76,62.15,0.0,-0.0,0.0,218.4,0.62,27.0,100328.0
20190106:2300,1.76,61.4,0.0,-0.0,0.0,220.8,0.62,34.0,100377.0
20190107:0000,1.6,60.9,0.0,-0.0,0.0,220.4,0.69,46.0,100417.0
20190107:0100,1.21,63.9,0.0,-0.0,0.0,222.8,0.76,55.0,100456.0
20190107:0200,0.71,66.4,0.0,-0.0,0.0,220.0,0.83,76.0,100456.0
20190107:0300,0.39,68.2,0.0,-0.0,0.0,219.2,0.9,79.0,100456.0
20190107:0400,0.09,69.3,0.0,-0.0,0.0,222.2,1.03,82.0,100466.0
20190107:0500,0.13,69.8,0.0,-0.0,0.0,217.4,0.9,61.0,100526.0
20190107:0600,-0.01,69.25,3.0,0.0,3.0,216.8,1.03,47.0,100555.0
20190107:0700,0.91,65.65,118.0,134.79,91.0,218.0,0.76,21.0,100644.0
20190107:0800,1.76,60.45,185.0,93.01,155.0,225.4,0.9,26.0,100713.0
20190107:0900,1.51,55.7,281.0,189.78,204.0,230.4,1.38,32.0,100713.0
20190107:1000,1.6,60.25,290.0,141.82,227.0,233.8,1.79,40.0,100733.0
20190107:1100,2.08,57.9,283.0,142.41,221.0,247.6,1.86,47.0,100753.0
20190107:1200,2.07,58.2,202.0,60.56,179.0,253.4,1.86,55.0,100723.0
20190107:1300,2.17,56.15,141.0,53.32,126.0,266.4,2.21,59.0,100782.0
20190107:1400,1.7,57.35,66.0,54.58,58.0,259.4,2.34,56.0,100842.0
20190107:1500,0.45,65.05,0.0,-0.0,0.0,250.2,2.21,52.0,100861.0
20190107:1600,-0.73,63.4,0.0,-0.0,0.0,237.0,2.28,39.0,100931.0
20190107:1700,-1.13,60.35,0.0,-0.0,0.0,239.4,2.48,31.0,100970.0
20190107:1800,-1.89,59.85,0.0,-0.0,0.0,228.6,2.69,28.0,101020.0
20190107:1900,-2.55,59.3,0.0,-0.0,0.0,217.6,2.83,27.0,101069.0
20190107:2000,-2.34,56.75,0.0,-0.0,0.0,220.2,2.62,23.0,101108.0
20190107:2100,-1.7,53.8,0.0,-0.0,0.0,210.0,2.28,20.0,101108.0
20190107:2200,-0.4,50.35,0.0,-0.0,0.0,207.0,1.93,16.0,101138.0
20190107:2300,-0.92,50.4,0.0,-0.0,0.0,205.8,1.59,12.0,101158.0
20190108:0000,-0.42,47.3,0.0,-0.0,0.0,206.2,1.31,8.0,101187.0
20190108:0100,-0.11,45.9,0.0,-0.0,0.0,204.2,1.1,4.0,101148.0
20190108:0200,-0.28,46.55,0.0,-0.0,0.0,204.2,1.03,358.0,101168.0
20190108:0300,-0.43,47.3,0.0,-0.0,0.0,203.6,1.03,352.0,101118.0
20190108:0400,-0.58,48.0,0.0,-0.0,0.0,205.0,0.97,345.0,101138.0
20190108:0500,-0.72,48.65,0.0,-0.0,0.0,202.8,0.97,336.0,101128.0
20190108:0600,-0.86,49.5,16.0,0.0,16.0,206.8,0.97,331.0,101138.0
20190108:0700,-0.93,49.8,146.0,298.27,86.0,205.2,1.03,330.0,101148.0
20190108:0800,-0.42,46.65,262.0,364.48,144.0,205.0,1.1,313.0,101128.0
20190108:0900,-1.06,49.1,308.0,262.7,201.0,208.6,1.17,290.0,101089.0
20190108:1000,-0.51,61.55,330.0,233.1,226.0,205.0,1.31,269.0,101039.0
20190108:1100,0.63,53.85,320.0,223.93,222.0,206.2,1.66,255.0,100921.0
20190108:1200,0.7,53.75,283.0,248.48,188.0,207.0,1.86,245.0,100822.0
20190108:1300,0.42,55.0,206.0,260.56,132.0,207.4,2.0,240.0,100743.0
20190108:1400,-0.5,59.8,116.0,435.18,51.0,206.4,1.93,237.0,100693.0
20190108:1500,-2.18,62.95,0.0,-0.0,0.0,205.4,1.86,239.0,100674.0
20190108:1600,-2.19,54.85,0.0,-0.0,0.0,204.6,1.86,247.0,100644.0
20190108:1700,-1.19,49.55,0.0,-0.0,0.0,204.8,1.59,254.0,100605.0
20190108:1800,-1.18,49.4,0.0,-0.0,0.0,204.2,1.59,263.0,100605.0
20190108:1900,-1.79,52.85,0.0,-0.0,0.0,206.4,1.66,272.0,100595.0
20190108:2000,-2.11,54.05,0.0,-0.0,0.0,207.4,1.72,280.0,100595.0
20190108:2100,-2.55,54.95,0.0,-0.0,0.0,211.0,1.79,284.0,100545.0
20190108:2200,-2.89,55.6,0.0,-0.0,0.0,227.4,1.79,290.0,100535.0
20190108:2300,-3.48,56.75,0.0,-0.0,0.0,225.0,1.79,294.0,100456.0
20190109:0000,-4.32,58.8,0.0,-0.0,0.0,212.8,1.86,292.0,100437.0
20190109:0100,-5.66,61.25,0.0,-0.0,0.0,216.2,2.0,293.0,100427.0
20190109:0200,-4.91,59.55,0.0,-0.0,0.0,220.4,1.86,296.0,100387.0
20190109:0300,-3.85,56.9,0.0,-0.0,0.0,233.2,1.66,301.0,100318.0
20190109:0400,-3.73,56.5,0.0,-0.0,0.0,236.6,1.66,307.0,100259.0
20190109:0500,-4.1,58.05,0.0,-0.0,0.0,251.8,1.66,332.0,100219.0
20190109:0600,-3.76,56.95,8.0,0.0,8.0,235.0,1.66,344.0,100170.0
20190109:0700,-1.34,48.35,57.0,0.0,57.0,217.2,1.17,335.0,100150.0
20190109:0800,-0.03,45.35,82.0,0.0,82.0,224.2,1.03,353.0,100160.0
20190109:0900,0.87,45.4,123.0,0.0,123.0,246.2,0.62,9.0,100101.0
20190109:1000,1.06,69.05,97.0,0.0,97.0,281.4,0.83,38.0,100091.0
20190109:1100,1.02,69.4,117.0,0.0,117.0,299.6,1.17,37.0,100012.0
20190109:1200,0.73,76.85,58.0,0.0,58.0,304.8,2.0,34.0,99943.0
20190109:1300,0.61,84.7,68.0,0.0,68.0,309.0,2.76,32.0,99824.0
20190109:1400,0.64,90.2,35.0,0.0,35.0,312.6,2.9,40.0,99735.0
20190109:1500,1.04,92.7,0.0,-0.0,0.0,315.6,2.9,55.0,99597.0
20190109:1600,1.5,93.25,0.0,-0.0,0.0,318.2,2.69,64.0,99468.0
20190109:1700,2.14,92.75,0.0,-0.0,0.0,319.8,2.34,53.0,99340.0
20190109:1800,2.49,92.65,0.0,-0.0,0.0,323.4,2.07,18.0,99241.0
20190109:1900,2.28,90.45,0.0,-0.0,0.0,323.8,2.76,14.0,99142.0
20190109:2000,2.59,90.3,0.0,-0.0,0.0,325.4,2.14,10.0,99113.0
20190109:2100,2.43,92.0,0.0,-0.0,0.0,326.2,1.66,5.0,99073.0
20190109:2200,2.43,92.5,0.0,-0.0,0.0,328.0,1.45,360.0,99083.0
20190109:2300,2.33,93.3,0.0,-0.0,0.0,330.2,1.59,350.0,99093.0
20190110:0000,2.32,93.7,0.0,-0.0,0.0,329.8,1.72,350.0,99132.0
20190110:0100,2.66,93.75,0.0,-0.0,0.0,329.05,1.79,352.0,99103.0
20190110:0200,2.7,93.85,0.0,-0.0,0.0,327.2,1.79,357.0,99073.0
20190110:0300,2.92,93.45,0.0,-0.0,0.0,331.4,1.66,2.0,99053.0
20190110:0400,3.17,93.05,0.0,-0.0,0.0,329.4,1.52,4.0,99034.0
20190110:0500,3.86,91.35,0.0,-0.0,0.0,333.8,1.31,6.0,99113.0
20190110:0600,4.33,90.75,12.0,0.0,12.0,325.6,1.17,9.0,99172.0
20190110:0700,5.06,90.55,40.0,0.0,40.0,307.8,1.03,343.0,99221.0
20190110:0800,6.53,88.55,59.0,0.0,59.0,305.8,0.76,352.0,99261.0
20190110:0900,7.3,88.65,192.0,31.65,179.0,311.4,0.55,45.0,99261.0
20190110:1000,7.53,88.3,95.0,0.0,95.0,298.4,1.24,104.0,99251.0
20190110:1100,6.16,91.1,73.0,0.0,73.0,303.8,1.79,120.0,99241.0
20190110:1200,6.5,90.55,81.0,0.0,81.0,302.8,1.79,125.0,99212.0
20190110:1300,6.9,91.05,70.0,0.0,70.0,337.2,1.59,134.0,99192.0
20190110:1400,8.46,87.9,19.0,0.0,19.0,327.8,1.24,153.0,99192.0
20190110:1500,7.87,91.6,0.0,-0.0,0.0,334.4,1.86,191.0,99182.0
20190110:1600,6.32,93.35,0.0,-0.0,0.0,333.2,2.76,197.0,99212.0
20190110:1700,5.96,93.05,0.0,-0.0,0.0,326.0,3.1,200.0,99221.0
20190110:1800,5.98,91.1,0.0,-0.0,0.0,317.4,3.1,200.0,99310.0
20190110:1900,5.8,92.55,0.0,-0.0,0.0,313.8,2.14,239.0,99330.0
20190110:2000,5.71,93.2,0.0,-0.0,0.0,319.4,1.59,262.0,99399.0
20190110:2100,4.25,95.8,0.0,-0.0,0.0,314.8,1.79,272.0,99429.0
20190110:2200,3.27,97.85,0.0,-0.0,0.0,303.4,1.72,280.0,99538.0
20190110:2300,2.76,98.1,0.0,-0.0,0.0,303.0,1.66,297.0,99617.0
20190111:0000,2.03,98.75,0.0,-0.0,0.0,298.6,1.79,306.0,99676.0
20190111:0100,2.2,97.7,0.0,-0.0,0.0,303.8,1.93,316.0,99745.0
20190111:0200,2.02,98.45,0.0,-0.0,0.0,301.2,2.14,324.0,99785.0
20190111:0300,2.25,97.7,0.0,-0.0,0.0,303.6,2.21,324.0,99834.0
20190111:0400,2.55,97.15,0.0,-0.0,0.0,305.4,2.28,318.0,99893.0
20190111:0500,2.37,96.9,0.0,-0.0,0.0,290.4,2.28,312.0,99962.0
20190111:0600,2.23,97.3,15.0,0.0,15.0,291.4,2.28,310.0,100041.0
20190111:0700,2.54,92.75,60.0,0.0,60.0,283.4,2.34,310.0,100130.0
20190111:0800,3.44,90.65,227.0,213.38,157.0,271.4,2.28,310.0,100180.0
20190111:0900,4.29,85.25,220.0,60.57,195.0,272.2,2.07,304.0,100239.0
20190111:1000,4.98,80.4,388.0,428.62,194.0,269.4,1.86,292.0,100190.0
20190111:1100,5.56,74.55,392.0,478.63,179.0,265.6,1.79,285.0,100150.0
20190111:1200,5.88,69.9,304.0,317.58,180.0,251.8,1.59,281.0,100150.0
20190111:1300,6.51,64.05,272.0,659.55,79.0,248.8,1.38,278.0,100130.0
20190111:1400,8.3,55.5,119.0,404.52,55.0,247.8,0.9,274.0,100170.0
20190111:1500,7.68,59.05,0.0,-0.0,0.0,246.4,0.62,281.0,100209.0
20190111:1600,7.18,58.15,0.0,-0.0,0.0,247.6,0.41,314.0,100298.0
20190111:1700,6.48,62.2,0.0,-0.0,0.0,253.6,0.34,18.0,100318.0
20190111:1800,5.63,67.9,0.0,-0.0,0.0,248.6,0.76,43.0,100358.0
20190111:1900,4.72,72.45,0.0,-0.0,0.0,269.0,1.45,36.0,100358.0
20190111:2000,2.76,77.75,0.0,-0.0,0.0,268.2,2.07,49.0,100367.0
20190111:2100,2.12,79.55,0.0,-0.0,0.0,280.8,2.28,47.0,100367.0
20190111:2200,1.95,78.55,0.0,-0.0,0.0,279.6,2.28,46.0,100288.0
20190111:2300,1.95,77.7,0.0,-0.0,0.0,288.6,2.28,46.0,100328.0
20190112:0000,1.86,78.5,0.0,-0.0,0.0,298.2,2.28,40.0,100367.0
20190112:0100,1.7,78.9,0.0,-0.0,0.0,300.0,2.34,34.0,100377.0
20190112:0200,1.6,78.8,0.0,-0.0,0.0,295.2,2.21,31.0,100348.0
20190112:0300,1.49,78.9,0.0,-0.0,0.0,295.2,2.21,32.0,100239.0
20190112:0400,1.49,77.85,0.0,-0.0,0.0,291.2,2.07,32.0,100229.0
20190112:0500,2.12,77.6,0.0,-0.0,0.0,295.4,1.86,26.0,100229.0
20190112:0600,2.06,79.1,16.0,0.0,16.0,298.6,1.79,27.0,100239.0
20190112:0700,2.6,78.55,141.0,262.53,87.0,279.6,1.59,23.0,100269.0
20190112:0800,4.49,68.7,274.0,433.7,131.0,275.4,1.52,13.0,100269.0
20190112:0900,5.85,59.95,355.0,450.87,168.0,257.2,1.24,6.0,100229.0
20190112:1000,6.79,56.4,381.0,404.41,197.0,258.0,0.76,3.0,100140.0
20190112:1100,7.27,51.6,385.0,451.21,183.0,256.0,0.28,25.0,100032.0
20190112:1200,7.64,50.65,351.0,536.42,140.0,253.4,0.41,148.0,99972.0
20190112:1300,7.71,51.25,261.0,568.2,93.0,251.6,0.97,156.0,99913.0
20190112:1400,5.8,62.05,134.0,595.1,38.0,253.0,1.45,151.0,99923.0
20190112:1500,4.53,68.75,0.0,-0.0,0.0,248.6,1.66,143.0,99903.0
20190112:1600,5.97,62.45,0.0,-0.0,0.0,242.8,1.38,136.0,99933.0
20190112:1700,5.19,67.05,0.0,-0.0,0.0,239.8,0.9,125.0,99962.0
20190112:1800,5.38,64.5,0.0,-0.0,0.0,243.0,0.34,96.0,99972.0
20190112:1900,4.77,67.05,0.0,-0.0,0.0,244.4,0.14,152.0,100032.0
20190112:2000,4.4,68.3,0.0,-0.0,0.0,241.2,0.14,254.0,100051.0
20190112:2100,4.02,69.35,0.0,-0.0,0.0,237.8,0.21,292.0,100071.0
20190112:2200,3.6,70.3,0.0,-0.0,0.0,233.4,0.34,319.0,100041.0
20190112:2300,3.24,70.9,0.0,-0.0,0.0,235.6,0.41,337.0,100051.0
20190113:0000,2.96,70.85,0.0,-0.0,0.0,232.6,0.55,332.0,100032.0
20190113:0100,2.82,70.35,0.0,-0.0,0.0,236.0,0.48,337.0,100002.0
20190113:0200,2.63,69.9,0.0,-0.0,0.0,236.4,0.34,329.0,100002.0
20190113:0300,2.44,70.05,0.0,-0.0,0.0,240.0,0.28,313.0,99962.0
20190113:0400,2.36,69.05,0.0,-0.0,0.0,244.6,0.21,297.0,99962.0
20190113:0500,2.24,69.45,0.0,-0.0,0.0,247.8,0.21,288.0,99972.0
20190113:0600,2.12,69.85,14.0,0.0,14.0,253.0,0.21,285.0,100002.0
20190113:0700,2.51,70.2,175.0,531.13,65.0,274.0,0.21,230.0,100061.0
20190113:0800,2.83,77.25,302.0,594.28,105.0,277.4,0.48,189.0,100071.0
20190113:0900,3.67,68.95,388.0,592.49,141.0,302.6,0.76,181.0,100061.0
20190113:1000,3.81,71.6,427.0,585.84,159.0,292.2,0.97,181.0,99943.0
20190113:1100,4.02,73.5,404.0,512.82,173.0,299.8,1.17,182.0,99873.0
20190113:1200,4.19,74.95,351.0,512.2,148.0,302.2,1.24,189.0,99824.0
20190113:1300,4.14,75.7,258.0,512.05,105.0,306.2,1.31,198.0,99785.0
20190113:1400,4.06,75.9,142.0,644.41,36.0,311.8,1.24,203.0,99725.0
20190113:1500,3.63,78.45,0.0,0.0,0.0,279.2,1.24,206.0,99686.0
20190113:1600,2.63,83.65,0.0,-0.0,0.0,266.6,1.17,223.0,99676.0
20190113:1700,2.35,81.85,0.0,-0.0,0.0,262.6,1.17,246.0,99676.0
20190113:1800,2.72,78.6,0.0,-0.0,0.0,266.8,1.03,263.0,99666.0
20190113:1900,2.26,79.25,0.0,-0.0,0.0,266.0,1.1,269.0,99676.0
20190113:2000,2.3,78.15,0.0,-0.0,0.0,264.2,1.03,284.0,99646.0
20190113:2100,1.46,80.45,0.0,-0.0,0.0,261.4,1.17,303.0,99636.0
20190113:2200,0.81,82.05,0.0,-0.0,0.0,255.8,1.31,315.0,99518.0
