time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190715:0600,19.41,84.55,491.0,653.7,137.0,369.8,0.83,128.0,99706.0
20190715:0700,20.3,78.7,667.0,745.05,149.0,369.4,0.76,142.0,99715.0
20190715:0800,20.98,76.75,788.0,722.45,197.0,353.0,1.31,173.0,99745.0
20190715:0900,21.89,75.15,855.0,669.96,251.0,356.4,1.59,181.0,99715.0
20190715:1000,22.58,73.45,783.0,413.81,394.0,364.4,1.79,182.0,99745.0
20190715:1100,22.92,72.95,918.0,758.37,212.0,377.4,2.0,190.0,99715.0
20190715:1200,23.07,72.4,863.0,770.42,189.0,358.8,2.0,182.0,99646.0
20190715:1300,23.32,70.9,769.0,808.43,142.0,374.4,2.41,186.0,99626.0
20190715:1400,22.97,72.5,598.0,693.85,154.0,368.8,2.41,184.0,99626.0
20190715:1500,22.59,74.0,415.0,582.71,137.0,371.8,2.07,177.0,99587.0
20190715:1600,21.17,77.45,225.0,412.49,102.0,370.0,1.79,193.0,99646.0
20190715:1700,20.56,80.6,43.0,43.32,38.0,367.0,0.21,172.0,99646.0
20190715:1800,20.26,82.95,0.0,-0.0,0.0,381.6,0.97,41.0,99686.0
20190715:1900,19.66,91.0,0.0,-0.0,0.0,364.6,0.97,68.0,99755.0
20190715:2000,19.16,91.45,0.0,-0.0,0.0,348.8,0.9,51.0,99824.0
20190715:2100,18.86,91.05,0.0,-0.0,0.0,353.4,0.97,32.0,99824.0
20190715:2200,18.16,91.9,0.0,-0.0,0.0,345.8,1.1,15.0,99844.0
20190715:2300,17.31,93.8,0.0,-0.0,0.0,345.2,1.31,357.0,99834.0
20190716:0000,17.19,93.05,0.0,-0.0,0.0,355.2,1.52,346.0,99794.0
20190716:0100,17.06,92.4,0.0,-0.0,0.0,346.05,1.66,349.0,99715.0
20190716:0200,16.64,94.0,0.0,-0.0,0.0,347.6,1.59,353.0,99735.0
20190716:0300,16.43,94.9,0.0,0.0,0.0,349.0,1.59,356.0,99725.0
20190716:0400,17.06,96.1,52.0,5.48,51.0,362.8,1.59,358.0,99745.0
20190716:0500,18.52,93.75,169.0,54.72,149.0,360.2,1.52,4.0,99755.0
20190716:0600,20.65,83.85,233.0,27.78,218.0,367.8,1.24,21.0,99765.0
20190716:0700,22.17,72.05,510.0,289.7,309.0,370.0,1.45,57.0,99745.0
20190716:0800,23.13,61.7,372.0,28.16,349.0,364.6,1.72,90.0,99735.0
20190716:0900,23.44,58.2,431.0,35.54,399.0,379.0,1.86,102.0,99725.0
20190716:1000,23.67,56.45,751.0,360.99,412.0,382.6,1.45,100.0,99775.0
20190716:1100,23.47,56.55,605.0,158.06,458.0,383.6,1.1,89.0,99735.0
20190716:1200,23.33,57.45,376.0,18.31,360.0,383.8,0.76,57.0,99666.0
20190716:1300,23.94,54.95,149.0,0.0,149.0,381.8,0.76,24.0,99656.0
20190716:1400,24.18,53.15,181.0,0.0,181.0,380.2,0.83,12.0,99626.0
20190716:1500,24.04,54.05,84.0,0.0,84.0,385.0,1.03,344.0,99636.0
20190716:1600,23.79,56.45,32.0,0.0,32.0,384.2,1.45,342.0,99636.0
20190716:1700,23.01,61.8,53.0,105.36,41.0,378.4,1.66,340.0,99626.0
20190716:1800,22.09,66.7,0.0,-0.0,0.0,379.6,1.72,341.0,99666.0
20190716:1900,21.34,70.95,0.0,-0.0,0.0,380.0,1.86,349.0,99686.0
20190716:2000,20.65,74.8,0.0,-0.0,0.0,373.0,1.72,360.0,99735.0
20190716:2100,20.38,75.55,0.0,-0.0,0.0,371.4,1.52,5.0,99745.0
20190716:2200,20.2,76.7,0.0,-0.0,0.0,368.4,1.24,2.0,99597.0
20190716:2300,19.49,79.4,0.0,-0.0,0.0,356.0,1.31,11.0,99646.0
20190717:0000,19.07,81.35,0.0,-0.0,0.0,362.6,1.38,12.0,99666.0
20190717:0100,19.01,82.45,0.0,-0.0,0.0,374.05,1.38,11.0,99656.0
